Numero,Descripcion,Nivel,Imputable
11504003,VEHICULOS,1.1.5.04.003,1
11504003,VEHICULOS,1.1.5.04.003,1
11504003,VEHICULOS,1.1.5.04.003,1
11504003,VEHICULOS,1.1.5.04.003,1
11504003,VEHICULOS,1.1.5.04.003,1
11504003,VEHICULOS,1.1.5.04.003,1
11504003,VEHICULOS,1.1.5.04.003,1
11504003,VEHICULOS,1.1.5.04.003,1
11504003,VEHICULOS Y OTROS,1.1.5.04.003,1
11504003,VEHICULOS Y OTROS,1.1.5.04.003,1
12103,MAQUINARIAS,1.2.1.03,0
12103,MAQUINARIAS,1.2.1.03,0
12103,MAQUINARIAS,1.2.1.03,0
12103,MAQUINARIAS,1.2.1.03,0
12103,MAQUINARIAS,1.2.1.03,0
12103,MAQUINARIAS,1.2.1.03,0
12103,MAQUINARIAS,1.2.1.03,0
12103,MAQUINARIAS,1.2.1.03,0
12103,MAQUINARIAS,1.2.1.03,0
12103,MAQUINARIAS,1.2.1.03,0
12103001,VALOR ORIGEN MAQUINARIAS BS AS,1.2.1.03.001,1
12103001,VALOR ORIGEN MAQUINARIAS BS AS,1.2.1.03.001,1
12103001,VALOR ORIGEN MAQUINARIAS BS AS,1.2.1.03.001,1
12103001,VALOR ORIGEN MAQUINARIAS BS AS,1.2.1.03.001,1
12103001,VALOR ORIGEN MAQUINARIAS BS AS,1.2.1.03.001,1
12103001,VALOR ORIGEN MAQUINARIAS BS AS,1.2.1.03.001,1
12103001,VALOR ORIGEN MAQUINARIAS BS AS,1.2.1.03.001,1
12103001,VALOR ORIGEN MAQUINARIAS BS AS,1.2.1.03.001,1
12103001,VALOR ORIGEN MAQUINARIAS BS AS,1.2.1.03.001,1
12103001,VALOR ORIGEN MAQUINARIAS BS AS,1.2.1.03.001,1
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,1.2.1.03.002,1
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,1.2.1.03.002,1
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,1.2.1.03.002,1
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,1.2.1.03.002,1
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,1.2.1.03.002,1
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,1.2.1.03.002,1
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,1.2.1.03.002,1
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,1.2.1.03.002,1
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,1.2.1.03.002,1
12103002,AMORTIZACIONES ACUMULADAS MAQUINARIAS BS AS,1.2.1.03.002,1
12103003,VALOR ORIGEN MAQUINARIAS SALTA,1.2.1.03.003,1
12103003,VALOR ORIGEN MAQUINARIAS SALTA,1.2.1.03.003,1
12103003,VALOR ORIGEN MAQUINARIAS SALTA,1.2.1.03.003,1
12103003,VALOR ORIGEN MAQUINARIAS SALTA,1.2.1.03.003,1
12103003,VALOR ORIGEN MAQUINARIAS SALTA,1.2.1.03.003,1
12103003,VALOR ORIGEN MAQUINARIAS SALTA,1.2.1.03.003,1
12103003,VALOR ORIGEN MAQUINARIAS SALTA,1.2.1.03.003,1
12103003,VALOR ORIGEN MAQUINARIAS SALTA,1.2.1.03.003,1
12103003,VALOR ORIGEN MAQUINARIAS SALTA,1.2.1.03.003,1
12103003,VALOR ORIGEN MAQUINARIAS SALTA,1.2.1.03.003,1
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,1.2.1.03.004,1
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,1.2.1.03.004,1
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,1.2.1.03.004,1
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,1.2.1.03.004,1
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,1.2.1.03.004,1
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,1.2.1.03.004,1
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,1.2.1.03.004,1
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,1.2.1.03.004,1
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,1.2.1.03.004,1
12103004,AMORTIZACIONES ACUMULADAS MAQUINARIAS SALTA,1.2.1.03.004,1
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,1.2.1.03.005,1
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,1.2.1.03.005,1
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,1.2.1.03.005,1
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,1.2.1.03.005,1
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,1.2.1.03.005,1
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,1.2.1.03.005,1
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,1.2.1.03.005,1
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,1.2.1.03.005,1
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,1.2.1.03.005,1
12103005,VALOR ORIGEN MAQUINARIAS BIODISEL,1.2.1.03.005,1
12103006,AMORTIZACIONES ACUMULADAS MAQUINARIAS BIODISEL,1.2.1.03.006,1
12103006,AMORTIZACIONES ACUMULADAS MAQUINARIAS BIODISEL,1.2.1.03.006,1
12103006,AMORTIZACIONES ACUMULADAS MAQUINARIAS BIODISEL,1.2.1.03.006,1
12103006,AMORTIZACIONES ACUMULADAS MAQUINARIAS BIODISEL,1.2.1.03.006,1
12103006,AMORTIZACIONES ACUMULADAS MAQUINARIAS BIODISEL,1.2.1.03.006,1
12103006,AMORTIZACIONES ACUMULADAS MAQUINARIAS BIODISEL,1.2.1.03.006,1
12103006,AMORTIZACIONES ACUMULADAS MAQUINARIAS BIODISEL,1.2.1.03.006,1
12103006,AMORTIZACIONES ACUMULADAS MAQUINARIAS BIODISEL,1.2.1.03.006,1
12103006,AMORTIZACIONES ACUMULADAS MAQUINARIAS BIODISEL,1.2.1.03.006,1
12103006,AMORTIZACIONES ACUMULADAS MAQUINARIAS BIODISEL,1.2.1.03.006,1
12105004,OBRAS EN CURSO,1.2.1.05.004,1
12105004,OBRAS EN CURSO,1.2.1.05.004,1
12105004,OBRAS EN CURSO,1.2.1.05.004,1
12105004,OBRAS EN CURSO,1.2.1.05.004,1
12105004,OBRAS EN CURSO,1.2.1.05.004,1
12105004,OBRAS EN CURSO,1.2.1.05.004,1
12105004,OBRAS EN CURSO,1.2.1.05.004,1
12105004,OBRAS EN CURSO,1.2.1.05.004,1
12105004,OBRAS EN CURSO,1.2.1.05.004,1
12105004,OBRAS EN CURSO PATOGENICOS,1.2.1.05.004,1
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,1.2.1.05.005,1
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,1.2.1.05.005,1
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,1.2.1.05.005,1
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,1.2.1.05.005,1
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,1.2.1.05.005,1
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,1.2.1.05.005,1
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,1.2.1.05.005,1
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,1.2.1.05.005,1
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,1.2.1.05.005,1
12105005,AMORTIZACIONES ACUMULADAS OBRA EN CURSO,1.2.1.05.005,1
12105006,OBRAS S/INMUEBLES DE TERCEROS,1.2.1.05.006,1
12105006,OBRAS S/INMUEBLES DE TERCEROS,1.2.1.05.006,1
12105006,OBRAS S/INMUEBLES DE TERCEROS,1.2.1.05.006,1
12105006,OBRAS S/INMUEBLES DE TERCEROS,1.2.1.05.006,1
12105006,OBRAS S/INMUEBLES DE TERCEROS,1.2.1.05.006,1
12105006,OBRAS S/INMUEBLES DE TERCEROS,1.2.1.05.006,1
12105006,OBRAS S/INMUEBLES DE TERCEROS,1.2.1.05.006,1
12105006,OBRAS S/INMUEBLES DE TERCEROS,1.2.1.05.006,1
12105006,OBRAS S/INMUEBLES DE TERCEROS,1.2.1.05.006,1
12105006,OBRAS S/INMUEBLES DE TERCEROS,1.2.1.05.006,1
