Numero,Descripcion,Movs_Total,Movs_2024,Asientos_Total,Primer_Mov,Ultimo_Mov,Debe_2024,Haber_2024
11101001,CAJA PESOS,10462,1696,10439,2017-09-27 16:56:47,2026-07-06 11:26:57,357639308.79,330548239.66
11101002,CAJA DOLARES,231,84,221,2017-11-29 11:26:42,2026-05-05 12:57:41,607944837.77,594222397.77
11101003,FONDOS FIJOS ADMINISTRACION,77,6,77,2017-09-27 15:35:52,2025-08-02 15:57:28,462343.71,462343.71
11101004,FONDOS FIJO SALTA,2182,1317,2182,2017-11-08 10:53:11,2026-07-06 11:39:00,120801677.74,115039743.99
11101005,FONDOS FIJOS VIAJES,9,0,9,2017-11-08 10:53:11,2021-04-30 13:32:39,0.0,0.0
11101007,FONDOS FIJOS ACIDSAL,121,0,121,2017-10-04 14:07:00,2021-04-30 13:28:14,0.0,0.0
11101008,CAJA DA,2,2,2,2024-02-27 09:51:11,2024-02-27 09:52:18,3500.0,3500.0
11102001,BANCO CREDICOOP 40137/3,33326,10414,33325,2017-09-28 10:14:05,2026-07-06 13:08:20,6184775072.45,6076637090.83
11102002,CH DIFERIDOS BANCO CREDICOOP 40137/3,28,12,27,2017-11-08 10:53:11,2026-07-01 12:00:41,442577295.9,752110611.22
11102003,BANCO CREDICOOP 1945/5,274,62,274,2017-10-11 12:43:39,2026-07-01 12:00:41,1613922.54,1583887.44
11102005,BANCO MACRO CTA CTE,212,179,212,2020-11-30 14:35:13,2026-07-03 16:38:28,1947206578.58,2085527567.1
11102007,BANCO MACRO CTA CTE USD,8,8,8,2026-04-17 16:53:45,2026-06-25 13:07:24,1770738.86,157034354.06
11102008,Cupones Tarjetas a depositar,38,0,38,2019-10-23 12:19:08,2023-06-30 14:59:25,0.0,0.0
11102009,BANCO NACION,525,60,525,2017-10-10 15:09:08,2025-12-30 16:44:09,1622074.12,1544207.02
11102011,VALORES A DEPOSITAR,3136,1146,3136,2017-09-29 15:58:42,2026-07-03 16:36:24,3324160608.79,3179402192.44
11102013,BANCO VISA,1571,31,1571,2017-10-17 09:55:53,2024-05-08 17:07:15,688090.02,2388454.53
11102013,BANCO VISA PATAGONIA,296,296,296,2024-01-09 14:18:11,2026-07-01 12:00:41,18503889.75,18529407.0
11102016,BANCO PATAGONIA SALTA,7234,2300,7234,2017-09-28 10:02:55,2026-07-06 13:31:35,12979884369.25,12817754885.9
11102017,CH DIFERIDO BANCO PATAGONIA SALTA,11,0,11,2017-11-08 10:53:11,2021-09-02 19:07:59,0.0,0.0
11102018,BANCO SANTIAGO DEL ESTERO,177,0,177,2017-10-11 16:28:30,2019-09-24 14:25:40,0.0,0.0
11102020,BANCO AMEX GR,362,59,362,2017-10-24 17:37:37,2026-01-21 14:52:03,3321190.89,3464547.72
11102021,BANCO AMEX DA,375,24,375,2017-10-24 16:25:00,2024-09-16 16:45:13,328467.21,337254.03
