Mes,Numero,Descripcion,TipoOrigen,Total,Cant
b'2026-01',11101001,CAJA PESOS,2,180406510.46,11
b'2026-01',11101001,CAJA PESOS,4,19950.0,1
b'2026-01',11101002,CAJA DOLARES,0,5600000.0,1
b'2026-01',11101002,CAJA DOLARES,2,177000000.0,3
b'2026-01',11101004,FONDOS FIJO SALTA,1,0.9,1
b'2026-01',11101004,FONDOS FIJO SALTA,2,2990000.0,9
b'2026-01',11101004,FONDOS FIJO SALTA,4,181373.64,2
b'2026-01',11102001,BANCO CREDICOOP 40137/3,1,128346424.47,129
b'2026-01',11102001,BANCO CREDICOOP 40137/3,2,40602172.17,19
b'2026-01',11102001,BANCO CREDICOOP 40137/3,4,5833523.87,7
b'2026-01',11102002,CH DIFERIDOS BANCO CREDICOOP 40137/3,0,32102349.08,1
b'2026-01',11102003,BANCO CREDICOOP 1945/5,2,100000.0,1
b'2026-01',11102011,VALORES A DEPOSITAR,1,334890504.66,20
b'2026-01',11102013,BANCO VISA PATAGONIA,2,312252.77,1
b'2026-01',11102013,BANCO VISA PATAGONIA,4,354159.18,1
b'2026-01',11102016,BANCO PATAGONIA SALTA,1,624467913.2,25
b'2026-01',11102016,BANCO PATAGONIA SALTA,2,17569723.93,5
b'2026-01',11102027,BANCO BBVA FRANCES,1,32183776.76,32
b'2026-01',11102027,BANCO BBVA FRANCES,2,26955238.6,2
b'2026-01',11102027,BANCO BBVA FRANCES,4,868821.12,1
b'2026-01',11102028,MERCADOPAGO,2,153815.96,5
b'2026-01',11102028,MERCADOPAGO,4,971943.47,5
b'2026-01',11102029,BANCO BBVA CTA USD,0,18009950.64,1
b'2026-01',11102029,BANCO BBVA CTA USD,2,342324253.36,5
b'2026-01',11102029,BANCO BBVA CTA USD,4,424.52,1
b'2026-01',11102030,BANCO VISA BBVA,2,11968564.94,6
b'2026-01',11102030,BANCO VISA BBVA,4,4989207.93,13
b'2026-01',11201002,INTERESES A DEVENGAR PLAZO FIJO Y PROMOCIONES,0,2009.0,1
b'2026-01',11201005,FONDOS COMUN DE INVERSION,4,83794.68,1
b'2026-01',11201006,BALANZ,2,350000000.0,2
b'2026-01',11301001,DEUDORES POR SERVICIOS PESOS,0,22905082.57,1
b'2026-01',11301001,DEUDORES POR SERVICIOS PESOS,1,8318035.42,14
b'2026-01',11301001,DEUDORES POR SERVICIOS PESOS,7,737292571.099999,397
b'2026-01',11301001,DEUDORES POR SERVICIOS PESOS,12,31.05,5
b'2026-01',11301003,PROVISION FACTURAS A EMITIR,0,1198589318.42,1
b'2026-01',11401001,IVA CREDITO FISCAL,0,14636493.54,1
b'2026-01',11401001,IVA CREDITO FISCAL,8,12272762.65,190
b'2026-01',11401002,IVA RETENCION,1,11047638.72,31
b'2026-01',11401003,IVA PERCEPCION,0,92337.94,1
b'2026-01',11401003,IVA PERCEPCION,8,485478.87,39
b'2026-01',11402001,GANANCIAS RETENCION,0,43619.63,1
b'2026-01',11402001,GANANCIAS RETENCION,1,17984234.08,91
b'2026-01',11402002,GANANCIAS ANTICIPO,2,46475671.68,2
b'2026-01',11402005,PERCEPCION GANANCIAS,0,515473.32,1
b'2026-01',11402005,PERCEPCION GANANCIAS,8,1915938.18,1
b'2026-01',11403001,IIBB RETENCIONES CABA,0,86016.19,1
b'2026-01',11403001,IIBB RETENCIONES CABA,1,3289620.43,44
b'2026-01',11403002,IIBB RETENCIONES PCIA BS AS,0,681961.08,1
b'2026-01',11403002,IIBB RETENCIONES PCIA BS AS,1,593219.35,55
b'2026-01',11403003,IIBB RETENCIONES SALTA,1,14988727.35,22
b'2026-01',11403004,IIBB PERCEPCION CABA,0,359505.24,1
b'2026-01',11403004,IIBB PERCEPCION CABA,8,1718030.65,82
b'2026-01',11403006,IIBB PERCEPCION PCIA DE SALTA,8,153446.93,17
