MesContable,Numero,Cuenta,TipoSaldo,Categoria,Cant,Total_Importe1
b'2023-12',42101009,BSAS CARGAS SOCIALES,0,1_base,1,3957179.77
b'2023-12',42101009,BSAS CARGAS SOCIALES,0,2_infl,1,18460665.29
b'2023-12',42101009,BSAS CARGAS SOCIALES,1,4_cierre,1,42506503.53
b'2024-01',42101009,BSAS CARGAS SOCIALES,0,1_base,1,3893184.45
b'2024-02',42101009,BSAS CARGAS SOCIALES,0,1_base,1,4110217.85
b'2024-03',42101009,BSAS CARGAS SOCIALES,0,3_provision,1,6279252.79
b'2024-04',42101009,BSAS CARGAS SOCIALES,0,1_base,1,5236649.51
b'2024-05',42101009,BSAS CARGAS SOCIALES,0,1_base,1,5888642.73
b'2024-06',42101009,BSAS CARGAS SOCIALES,0,1_base,1,9778346.17
b'2024-07',42101009,BSAS CARGAS SOCIALES,0,1_base,1,7465273.23
b'2024-08',42101009,BSAS CARGAS SOCIALES,0,1_base,1,8089104.3
b'2024-09',42101009,BSAS CARGAS SOCIALES,0,1_base,1,7090174.82
b'2024-10',42101009,BSAS CARGAS SOCIALES,0,1_base,1,7930157.6
b'2024-11',42101009,BSAS CARGAS SOCIALES,0,1_base,1,10368269.42
b'2024-12',42101009,BSAS CARGAS SOCIALES,0,1_base,1,12117679.72
b'2024-12',42101009,BSAS CARGAS SOCIALES,0,2_infl,1,17071334.83
b'2024-12',42101009,BSAS CARGAS SOCIALES,1,4_cierre,1,105318287.42
b'2025-01',42101009,BSAS CARGAS SOCIALES,0,1_base,1,8067993.66
b'2025-02',42101009,BSAS CARGAS SOCIALES,0,1_base,1,7745265.19
b'2025-03',42101009,BSAS CARGAS SOCIALES,0,1_base,1,7928957.94
b'2025-04',42101009,BSAS CARGAS SOCIALES,0,1_base,2,10213565.25
b'2025-05',42101009,BSAS CARGAS SOCIALES,0,1_base,1,12693514.15
b'2025-06',42101009,BSAS CARGAS SOCIALES,0,1_base,1,27292765.83
b'2025-06',42101009,BSAS CARGAS SOCIALES,1,1_base,1,19701.98
b'2025-07',42101009,BSAS CARGAS SOCIALES,0,1_base,1,11449872.27
b'2025-08',42101009,BSAS CARGAS SOCIALES,0,1_base,1,10691359.21
b'2025-08',42101009,BSAS CARGAS SOCIALES,0,3_provision,1,11884681.73
b'2025-09',42101009,BSAS CARGAS SOCIALES,0,1_base,1,11577991.95
b'2025-09',42101009,BSAS CARGAS SOCIALES,1,3_reversion,1,11884681.73
b'2025-10',42101009,BSAS CARGAS SOCIALES,0,1_base,1,12643342.42
b'2025-11',42101009,BSAS CARGAS SOCIALES,0,1_base,1,7877088.65
b'2025-11',42101009,BSAS CARGAS SOCIALES,0,2_infl,1,14249476.71
b'2025-12',42101009,BSAS CARGAS SOCIALES,0,1_base,1,20087286.71
b'2025-12',42101009,BSAS CARGAS SOCIALES,0,2_infl,1,18310671.47
b'2025-12',42101009,BSAS CARGAS SOCIALES,1,2_infl,1,14249476.71
b'2025-12',42101009,BSAS CARGAS SOCIALES,1,4_cierre,1,166559972.72
b'2023-12',42101029,BSAS SUELDOS,0,1_base,1,15513296.03
b'2023-12',42101029,BSAS SUELDOS,0,2_infl,1,75661359.74
b'2023-12',42101029,BSAS SUELDOS,1,4_cierre,1,173693941.32
