MesContable,MesCreacion,Numero,Cuenta,TipoSaldo,TipoOrigen,Cant,Total_Importe1,Importe_cierre,Importe_operativo
b'2024-01',b'2024-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,11,14508493.0,0.0,14508493.0
b'2023-01',b'2024-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,5576832.0,5576832.0,0.0
b'2023-12',b'2024-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,16095641.0,0.0,16095641.0
b'2024-02',b'2024-02',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,5,13906520.0,0.0,13906520.0
b'2024-01',b'2024-02',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,19175708.0,0.0,19175708.0
b'2024-03',b'2024-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,14,24293721.0,0.0,24293721.0
b'2024-02',b'2024-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,18314723.0,18314723.0,0.0
b'2024-04',b'2024-04',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,8,19649121.0,0.0,19649121.0
b'2023-12',b'2024-04',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,0,1,9284455.0,9284455.0,0.0
b'2024-03',b'2024-04',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,37217876.0,0.0,37217876.0
b'2024-05',b'2024-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,8,23053650.0,0.0,23053650.0
b'2023-12',b'2024-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,11,1,12557952.0,12557952.0,0.0
b'2024-03',b'2024-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,2,22213368.0,0.0,22213368.0
b'2024-04',b'2024-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,1,35730.0,0.0,35730.0
b'2024-03',b'2024-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,2,2,9093611.0,0.0,9093611.0
b'2024-06',b'2024-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,9,35652113.0,0.0,35652113.0
b'2024-05',b'2024-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,1,68400.0,0.0,68400.0
b'2024-07',b'2024-07',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,6,29944434.0,0.0,29944434.0
b'2024-08',b'2024-08',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,6,29978101.0,0.0,29978101.0
b'2024-09',b'2024-09',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,7,34504632.0,0.0,34504632.0
b'2024-01',b'2024-09',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,12557952.0,12557952.0,0.0
b'2024-10',b'2024-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,8,31228297.0,0.0,31228297.0
b'2024-04',b'2024-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,24049380.0,0.0,24049380.0
b'2024-08',b'2024-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,34104632.0,0.0,34104632.0
b'2024-06',b'2024-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,40655532.0,0.0,40655532.0
b'2024-09',b'2024-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,29978047.0,0.0,29978047.0
b'2024-05',b'2024-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,25909415.0,0.0,25909415.0
b'2024-07',b'2024-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,0,1,30178101.0,0.0,30178101.0
b'2024-11',b'2024-11',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,9,53608875.0,0.0,53608875.0
b'2024-10',b'2024-11',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,2,2,200000.0,0.0,200000.0
b'2024-10',b'2024-11',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,2,1,100000.0,0.0,100000.0
