Field,Type,Null,Key,Default,Extra
RecID,varchar(12),NO,PRI,,
IDRef,varchar(12),YES,MUL,,
Origen,tinyint(1) unsigned,YES,,,
IDCampania,varchar(12),YES,MUL,,
FechaCreacion,datetime,YES,,,
Nombre,varchar(255),YES,,,
ID,int(4) unsigned,NO,MUL,,auto_increment
Estado,tinyint(1) unsigned,YES,,,
NroMoneda,tinyint(1) unsigned,YES,,,
FechaModificacion,datetime,YES,,,
Descripcion,mediumtext,YES,,,
MotivoCierre,varchar(255),YES,,,
NroSucursal,int(4) unsigned,YES,,,
FechaEmision,datetime,YES,,,
FechaVencimiento,datetime,YES,,,
IDFiscal,varchar(12),YES,MUL,,
IDFiscalSistema,varchar(12),YES,MUL,,
Subtotal,double,YES,,,
Impuestos,double,YES,,,
Adicional,double,YES,,,
Descuento,double,YES,,,
Total,double,YES,,,
TipoFactura,tinyint(1) unsigned,YES,,,
TipoComprobante,tinyint(1) unsigned,YES,,,
Escenario,varchar(255),YES,,,
IDConsulta,varchar(12),YES,MUL,,
IDPedido,varchar(12),YES,MUL,,
IDRequerimiento,varchar(12),YES,MUL,,
FechaRegistracion,datetime,YES,,,
IDUsuario,varchar(12),YES,MUL,,
IDUsuarioCreacion,varchar(12),YES,MUL,,
Numero,int(4) unsigned,YES,,,
ExcluirAnalisis,tinyint(1) unsigned,YES,,,
Auditoria,mediumtext,YES,,,
CodAduana,varchar(255),YES,,,
CodDestino,varchar(255),YES,,,
NroDespacho,int(4) unsigned,YES,,,
DigitoNroDespacho,varchar(255),YES,,,
FechaDespacho,datetime,YES,,,
FechaCAI,datetime,YES,,,
CAI,double,YES,,,
IDCotizacionMoneda,varchar(12),YES,MUL,,
ImporteTotal1,double,YES,,,
ImporteTotal2,double,YES,,,
ImporteTotal3,double,YES,,,
ImporteTotal4,double,YES,,,
ImporteTotal5,double,YES,,,
ImporteTotal6,double,YES,,,
ImporteSaldo1,double,YES,,,
ImporteSaldo2,double,YES,,,
ImporteSaldo3,double,YES,,,
ImporteSaldo4,double,YES,,,
ImporteSaldo5,double,YES,,,
ImporteSaldo6,double,YES,,,
Serie,varchar(255),YES,,,
IDFiscalFactura,varchar(12),YES,MUL,,
IDFiscalSistemaFactura,varchar(12),YES,MUL,,
Referencia,varchar(255),YES,,,
CodOperacion,tinyint(1) unsigned,YES,,,
EsElectronica,tinyint(1) unsigned,YES,,,
EsExenta,tinyint(1) unsigned,YES,,,
EstadoOperacion,tinyint(1) unsigned,YES,,,
FechaOperacion,datetime,YES,,,
TipoImportacion,tinyint(3) unsigned,YES,,,
