FechaCreacion,TipoSaldo,Importe1,Numero,Concepto,Detalle,TipoOrigen
2025-06-01 18:27:17,1,35913674.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,ASIENTO SUELDOS ENERO 2025,0
2025-06-01 18:27:17,1,46879887.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,ASIENTO SUELDOS ENERO 2025,0
2025-06-01 18:35:25,1,36787381.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,ASIENTO SUELDOS FEBRERO 2025,0
2025-06-01 18:35:25,1,54770498.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,ASIENTO SUELDOS FEBRERO 2025,0
2025-06-01 18:40:15,1,33231644.5,21301001,SUELDOS Y JORNALES A PAGAR BS AS,ASTO SUELDOS MARZO 2025,0
2025-06-01 18:40:15,1,47148404.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,ASTO SUELDOS MARZO 2025,0
2025-06-01 18:44:00,1,41199679.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,ASTO SUELDOS ABRIL 2025,0
2025-06-01 18:44:00,1,50595071.8,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,ASTO SUELDOS ABRIL 2025,0
2025-06-03 17:36:28,0,2290324.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 46903,2
2025-06-03 17:42:54,0,5158026.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 46910,2
2025-06-03 17:45:42,0,2118151.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 46911,2
2025-06-03 17:48:03,0,1332876.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 46912,2
2025-06-03 17:50:25,0,29964095.0,21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,Comprobante - Sueldos a pagar Patogenicos  - 46919,2
2025-06-04 14:23:49,0,1000000.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47104,2
2025-06-04 16:33:58,0,18028244.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47118,2
2025-06-04 16:36:16,0,4457810.0,21301001,SUELDOS Y JORNALES A PAGAR BS AS,Comprobante - Sueldos a pagar BsAs  - 47119,2
